merchant_id,name
M021257,"PT. Anggana Anggih Prima"
M047511,"PT Global Rooms Indonesia"
M047520,"Double Deer Music"
M047529,"PT.Carmel Anugerah Cemerlang"
M028504,BucketList
M044655,"DDMun (Veritrans)"
M024468,plazajam
M047580,OJASA
M047610,"CDH Jewelry"
M055323,"PT. Gading Murni"
M055329,Barantum
M055335,"PT. Invento Technology"
M055338,Unicity
M055368,UNKL347
M055377,"PT Mumu Nusantara Agung"
M055389,MAJUSHOP
M055443,"Zona WiFi"
M055506,"Alam Indah Hotel"
M055521,"Alam Shanti Hotel"
M055524,"Alam Jiwa Hotel"
M055527,"Kebun Indah Hotel"
M027338,"Amped Indonesia"
M055581,Glitterati
M055644,"PT. Asuransi Jiwa Generali Indonesia"
M055647,"Oto Market"
M055662,Kustomable
M055698,"Kingdom Of Meatball"
M055713,Awondaland
M055794,Digitalesia
M055803,"Phalam Batik and Souvenirs"
M055806,Lolibi
M055818,"Polyglot Shop"
M055872,"grand quality hotel jogja"
M001527,"Pt. Raja listrik indonesia"
M055926,"Dana Abadi UI"
M055992,Tangan.co
M056004,Goldenvictorymusic
M056079,"BJ Home"
M056091,"PT. Horizon Bandar Bahru"
M056094,Nurbaya
M024449,pastiasli.com
M056139,"PT. INTERAKTIF MEDIA KONSULTAN"
M056154,"Morning Whistle Reseller"
M056163,"PT. HIGO FITUR INDONESIA"
M056178,"PT. Hendratama Anugrah Cipta"
M056190,Bayitembem
M056244,thathagallery.com
M056259,Gravity
M056262,"Amanah Kurban"
M056289,Povilo
M056295,dotdtails
M021138,Bleachprojectinc
M056352,"Sphinx Motorsport "
M056400,"Gong Bali T&T"
M020661,"CV. Inti Sumatera Global"
M056592,Jekardah
M056637,"PAC CSIS Shop"
M056661,"Natural Look Gown"
M061032,Lideo
M061071,medicalogy.com
M061098,"DS Laboratories Indonesia"
M020947,Beautyhaulindo.com
M061227,"PAC BERLIAN HOTEL"
M061236,"PAC SUMMER HILLS BANDUNG"
M061269,GroupHub.Me
M061272,"PAC HILLS BATAM HOTEL"
M061290,"Kuma Cookies"
M061302,Kotakey.com
M061389,"Zest Hotel Jemursari Surabaya"
M061392,"Zest Hotel Bandung"
M061395,"Zest Hotel Harbour Bay Batam"
M061458,"Intex Indonesia"
M061461,Edustores
M061464,"PT. IndoInternet"
M061551,"Indonesian Society of Cataract And Refractive Surgery"
M061593,"Summerbird - Bed and Brasserie"
M061641,IndonesiaX
M061698,Duitku
M061746,"Maverick Avenue"
