id,decision,friendly_name,aasm_state,identifier,override,approved_at
55557,deny,Card number is restricted,approved,CB0021587,1,2015-08-05 08:22:26
55559,deny,Card number is restricted,approved,CB0021587,1,2015-08-05 08:22:26
55561,deny,Card number is restricted,approved,CB0021588,1,2015-08-05 08:22:41
55563,deny,Card number is restricted,approved,CB0021588,1,2015-08-05 08:22:41
55565,deny,Card number is restricted,approved,CB0021589,1,2015-08-05 08:22:56
55567,deny,Card number is restricted,approved,CB0021589,1,2015-08-05 08:22:56
55569,deny,Customer phone is restricted,approved,CB0021590,1,2015-08-05 08:23:12
55571,deny,Card number is restricted,approved,CB0021590,1,2015-08-05 08:23:12
55573,deny,Card number is restricted,approved,CB0021591,1,2015-08-05 08:23:27
55575,deny,Card number is restricted,approved,CB0021592,1,2015-08-05 08:23:35
55577,deny,Card number is restricted,approved,CB0021593,1,2015-08-05 08:23:43
55579,deny,Card number is restricted,approved,CB0021594,1,2015-08-05 08:23:51
55581,deny,Card number is restricted,approved,CB0021595,1,2015-08-05 08:23:58
55583,deny,Card number is restricted,approved,CB0021596,1,2015-08-05 08:24:06
55585,deny,Card number is restricted,approved,CB0021597,1,2015-08-05 08:24:14
55587,deny,Card number is restricted,approved,CB0021598,1,2015-08-05 08:24:22
55589,deny,Email address is restricted,approved,CB0021599,1,2015-08-05 09:24:10
55591,deny,Card number is restricted,approved,CB0021600,1,2015-08-05 09:24:18
55593,deny,Card number is restricted,approved,CB0021601,1,2015-08-05 09:24:26
55595,deny,Customer phone is restricted,approved,CB0021602,1,2015-08-05 09:24:34
55597,deny,Customer phone is restricted,approved,CB0021603,1,2015-08-05 09:24:41
55623,deny,Email address is restricted,approved,CB0021604,1,2015-08-05 14:24:31
55625,deny,Card number is restricted,approved,CB0021605,1,2015-08-05 14:24:38
55627,deny,Customer phone is restricted,approved,CB0021606,1,2015-08-05 14:24:45
55629,deny,Customer phone is restricted,approved,CB0021607,1,2015-08-05 14:24:52
55631,deny,Customer phone is restricted,approved,CB0021608,1,2015-08-05 14:25:00
55633,deny,Card number is restricted,approved,CB0021609,1,2015-08-05 14:29:23
55635,deny,Card number is restricted,approved,CB0021610,1,2015-08-05 14:29:30
55637,deny,Card number is restricted,approved,CB0021611,1,2015-08-05 14:29:38
55639,deny,Card number is restricted,approved,CB0021612,1,2015-08-05 14:29:45
55641,deny,Customer phone is restricted,approved,CB0021613,1,2015-08-05 14:29:52
55643,deny,Customer phone is restricted,approved,CB0021614,1,2015-08-05 14:30:00
55645,deny,Email address is restricted,approved,CB0021615,1,2015-08-05 14:30:52
55647,deny,Email address is restricted,approved,CB0021616,1,2015-08-05 14:31:00
55649,deny,Email address is restricted,approved,CB0021617,1,2015-08-05 14:31:08
55651,deny,Card number is restricted,approved,CB0021618,1,2015-08-05 14:31:16
55653,deny,Card number is restricted,approved,CB0021619,1,2015-08-05 14:31:23
55655,deny,Card number is restricted,approved,CB0021620,1,2015-08-05 14:31:31
55657,deny,Card number is restricted,approved,CB0021621,1,2015-08-05 14:31:38
55659,deny,Card number is restricted,approved,CB0021622,1,2015-08-05 14:31:46
55661,deny,Card number is restricted,approved,CB0021623,1,2015-08-05 14:31:54
55663,deny,Email address is restricted,approved,CB0021623,1,2015-08-05 14:32:02
55665,deny,Card number is restricted,approved,CB0021624,1,2015-08-05 14:32:02
55667,deny,Email address is restricted,approved,CB0021624,1,2015-08-05 14:32:09
55669,deny,Card number is restricted,approved,CB0021625,1,2015-08-05 14:32:10
55671,deny,Card number is restricted,approved,CB0021625,1,2015-08-05 14:32:17
55673,deny,Card number is restricted,approved,CB0021626,1,2015-08-05 14:32:18
55675,deny,Card number is restricted,approved,CB0021626,1,2015-08-05 14:32:24
55677,deny,Card number is restricted,approved,CB0021627,1,2015-08-05 14:32:25
55681,deny,Email address is restricted,approved,CB0021627,1,2015-08-05 14:32:28
55679,deny,Card number is restricted,approved,CB0021627,1,2015-08-05 14:32:32
55683,deny,Card number is restricted,approved,CB0021628,1,2015-08-05 14:32:39
55685,deny,Email address is restricted,approved,CB0021628,1,2015-08-05 14:32:41
55687,deny,Card number is restricted,approved,CB0021629,1,2015-08-05 14:32:47
55689,deny,Card number is restricted,approved,CB0021629,1,2015-08-05 14:32:48
55691,deny,Card number is restricted,approved,CB0021630,1,2015-08-05 14:32:55
55693,deny,Card number is restricted,approved,CB0021630,1,2015-08-05 14:32:55
55695,deny,Card number is restricted,approved,CB0021631,1,2015-08-05 14:33:02
55697,deny,Customer phone is restricted,approved,CB0021631,1,2015-08-05 14:33:03
55699,deny,Card number is restricted,approved,CB0021632,1,2015-08-05 14:33:10
55701,deny,Card number is restricted,approved,CB0021633,1,2015-08-05 14:33:18
55703,deny,Card number is restricted,approved,CB0021634,1,2015-08-05 14:33:25
55705,deny,Email address is restricted,approved,CB0021635,1,2015-08-06 04:32:18
55707,deny,Card number is restricted,approved,CB0021636,1,2015-08-06 04:32:26
55709,deny,Customer phone is restricted,approved,CB0021637,1,2015-08-06 04:32:34
55711,deny,Customer phone is restricted,approved,CB0021638,1,2015-08-06 04:32:42
55713,deny,Customer phone is restricted,approved,CB0021639,1,2015-08-06 04:32:50
55715,deny,Customer phone is restricted,approved,CB0021640,1,2015-08-06 04:32:57
55717,deny,Email address is restricted,approved,CB0021641,1,2015-08-06 04:33:32
55719,deny,Card number is restricted,approved,CB0021642,1,2015-08-06 04:33:39
55721,deny,Card number is restricted,approved,CB0021643,1,2015-08-06 04:33:46
55723,deny,Customer phone is restricted,approved,CB0021644,1,2015-08-06 04:33:54
55725,deny,Customer phone is restricted,approved,CB0021645,1,2015-08-06 04:34:01
55727,deny,Email address is restricted,approved,CB0021646,1,2015-08-06 04:34:55
55729,deny,Card number is restricted,approved,CB0021647,1,2015-08-06 04:35:02
55731,deny,Card number is restricted,approved,CB0021648,1,2015-08-06 04:35:10
55733,deny,Card number is restricted,approved,CB0021649,1,2015-08-06 04:35:17
55735,deny,Customer phone is restricted,approved,CB0021650,1,2015-08-06 04:35:25
55737,deny,Customer phone is restricted,approved,CB0021651,1,2015-08-06 04:35:32
55739,deny,Customer phone is restricted,approved,CB0021652,1,2015-08-06 04:35:39
55741,deny,Customer phone is restricted,approved,CB0021653,1,2015-08-06 04:36:40
55743,deny,Card number is restricted,approved,CB0021654,1,2015-08-06 05:02:35
55745,deny,Card number is restricted,approved,CB0021655,1,2015-08-06 05:02:42
55747,deny,Customer phone is restricted,approved,CB0021656,1,2015-08-06 05:02:49
